ts,Exit Time,Symbol,Side,Closed PnL,exec_fee,avgEntryPrice,avgExitPrice,qty,orderId,orderLinkId
1770740050748,2026-02-10 16:14:10,ADAUSDT,Buy,-0.0169043,,0.2628,0.2626,190,303637af-0efd-40f0-9463-40da78306d1b,
1770740057488,2026-02-10 16:14:17,BTCUSDT,Buy,-1.19698656,,68456.4,69573.4,0.001,6d9b17d2-ef2e-489b-a8fd-5c1fb5000969,
1770743403728,2026-02-10 17:10:03,ETHUSDT,Buy,-0.05458516,,2024.79,2026,0.02,d8861a3a-f8af-4805-b284-2a355fa0cedb,
1770744756081,2026-02-10 17:32:36,DOGEUSDT,Buy,-0.82352262,,0.0925,0.09392,540,8387cf2c-a22e-4bd8-9cd0-16d2cfa55772,
1770748104743,2026-02-10 18:28:24,ETHUSDT,Buy,0.3437866,,2027.94,2009.24,0.02,dc4322a2-b01f-4dc7-9ecd-84f650a397d4,
1770748537793,2026-02-10 18:35:37,SOLUSDT,Buy,0.3936475,,84.23,83.38,0.5,e1345eb4-057c-4cba-b71d-f3ab472ea371,
1770748537793,2026-02-10 18:35:37,ADAUSDT,Buy,0.09738829,,0.2617,0.2609,190,445b89aa-1fa9-40ef-9612-23be2a2ad5b8,
1770749779135,2026-02-10 18:56:19,DOGEUSDT,Buy,0.42057599,,0.09354,0.09265,534,ec1b47c2-4467-4bc9-b82b-02fd0a4ac531,
1770749779746,2026-02-10 18:56:19,ADAUSDT,Buy,-0.15032562,,0.2607,0.2612,191,3676b450-7023-4d78-add1-1fce58a7b1dc,
1770749808815,2026-02-10 18:56:48,BNBUSDT,Buy,0.05276859,,617.1,615.9,0.08,f8750f01-9f53-49fe-8c28-b13ea43018d7,
1770750559216,2026-02-10 19:09:19,XRPUSDT,Buy,-0.07268473,,1.4013,1.4018,35.6,771662f4-84b7-4752-8ead-e8c2d34d1145,
1770750601456,2026-02-10 19:10:01,ETHUSDT,Buy,-0.09303166,,2009.31,2011.75,0.02,7868ca27-537a-4859-83d5-d0b402cf6977,
1770750613397,2026-02-10 19:10:13,LINKUSDT,Buy,-0.12393208,,8.51,8.522,5.8,c534b834-6279-4682-b4ee-4dcad57d1b61,
1770750613397,2026-02-10 19:10:13,BTCUSDT,Buy,-0.13028819,,68871.1,68925.6,0.001,00488c16-34e3-4aaf-9f0e-b85234e94548,
1770751803719,2026-02-10 19:30:03,ADAUSDT,Buy,-0.13127812,,0.261,0.2614,191,1024dd08-e023-43d2-9c38-c6958251c341,
1770751841048,2026-02-10 19:30:41,DOGEUSDT,Buy,-0.09815095,,0.09247,0.09255,540,b789a761-7a79-4e85-8efb-46cad18bbf1a,
1770754947481,2026-02-10 20:22:27,LINKUSDT,Buy,-0.03168948,,8.527,8.52606897,5.8,5621ebc5-68ee-49b9-a790-4e33a292d775,
1770755463682,2026-02-10 20:31:03,BNBUSDT,Buy,-0.0850224,,616.6,617.2,0.08,6bfcfd4c-607d-4466-8d5e-9830b74f6506,
1770755471640,2026-02-10 20:31:11,ETHUSDT,Buy,-0.05399804,,2012.33,2013.52,0.02,39cc3b6d-ad72-4d7a-a950-96be58897197,
1770755474396,2026-02-10 20:31:14,BTCUSDT,Buy,-0.01179948,,68961.9,68922,0.001,16f21063-3eb7-4794-9857-a7c7cd0ca8e0,
1770755972277,2026-02-10 20:39:32,XRPUSDT,Buy,0.13743556,,1.4022,1.3968,35.6,a04159dd-adad-4fcf-85cc-18fe2f13d92e,
1770755972894,2026-02-10 20:39:32,SOLUSDT,Buy,0.1553817,,82.93,82.58,0.6,18534c96-eceb-426b-8368-70491f057c56,
1770757555838,2026-02-10 21:05:55,BNBUSDT,Buy,-0.1091136,,617.9,618.8,0.08,512bb427-4a26-4dd3-a197-11657dc15c1c,
1770759860851,2026-02-10 21:44:20,SOLUSDT,Buy,0.3169572,,82.75,82.16,0.6,f44fd690-4054-40c1-8403-bde8f66a87a7,
1770760100446,2026-02-10 21:48:20,LINKUSDT,Buy,0.12540091,,8.542,8.511,5.8,771d6029-5bc2-4538-8505-38b59c9f2c9b,
1770762213284,2026-02-10 22:23:33,XRPUSDT,Buy,-0.14087874,,1.3944,1.3968,35.8,a2dfaed5-9f3c-4b6b-9c48-844fd732fad3,
1770762927104,2026-02-10 22:35:27,DOGEUSDT,Buy,-0.14641163,,0.09277,0.09294,538,b18124b0-65ef-428a-9660-559d80616eda,
1770765608665,2026-02-10 23:20:08,SOLUSDT,Buy,0.0032264,,82.63,82.56,0.4,488f086e-3b42-4098-9a7e-e65882b6b583,
1770773755392,2026-02-11 01:35:55,LINKUSDT,Buy,-0.08276988,,8.54,8.548,5.8,d2b01cc9-7192-487e-88a6-d3d2bd41127b,
1770775385369,2026-02-11 02:03:05,XRPUSDT,Buy,-0.80595394,,1.3959,1.4167,35.8,5314f317-7127-4c9f-a0b8-db0c0407ea31,
