datetime,ts,open,high,low,close,volume
2025-10-03 04:15:00+00:00,1759464900000,232.62,233.1,232.52,232.81,57503.9
2025-10-03 04:30:00+00:00,1759465800000,232.81,232.82,231.22,231.74,101990.2
2025-10-03 04:45:00+00:00,1759466700000,231.74,231.96,231.29,231.96,45982.1
2025-10-03 05:00:00+00:00,1759467600000,231.96,232.08,230.81,231.3,153642.9
2025-10-03 05:15:00+00:00,1759468500000,231.3,231.33,230.77,230.87,47798.4
2025-10-03 05:30:00+00:00,1759469400000,230.87,231.18,230.1,230.27,120841.0
2025-10-03 05:45:00+00:00,1759470300000,230.27,231.34,230.15,231.03,94463.6
2025-10-03 06:00:00+00:00,1759471200000,231.03,231.29,230.73,231.0,48347.2
2025-10-03 06:15:00+00:00,1759472100000,231.0,231.43,230.86,231.08,51160.8
2025-10-03 06:30:00+00:00,1759473000000,231.08,231.25,230.59,230.69,42141.1
2025-10-03 06:45:00+00:00,1759473900000,230.69,230.7,227.42,229.2,569617.4
2025-10-03 07:00:00+00:00,1759474800000,229.2,229.51,228.64,229.18,99814.3
2025-10-03 07:15:00+00:00,1759475700000,229.18,229.58,228.54,228.66,75560.1
2025-10-03 07:30:00+00:00,1759476600000,228.66,229.09,228.46,228.55,56107.9
2025-10-03 07:45:00+00:00,1759477500000,228.55,229.38,228.34,229.27,76251.3
2025-10-03 08:00:00+00:00,1759478400000,229.27,229.53,228.66,228.73,76866.3
2025-10-03 08:15:00+00:00,1759479300000,228.73,229.24,227.68,229.23,160134.4
2025-10-03 08:30:00+00:00,1759480200000,229.23,230.24,229.04,230.09,152967.0
2025-10-03 08:45:00+00:00,1759481100000,230.09,231.08,229.96,230.85,147106.4
2025-10-03 09:00:00+00:00,1759482000000,230.85,231.25,230.57,230.74,103811.1
2025-10-03 09:15:00+00:00,1759482900000,230.74,231.64,230.52,231.53,119928.6
2025-10-03 09:30:00+00:00,1759483800000,231.53,231.62,230.47,230.69,109250.0
2025-10-03 09:45:00+00:00,1759484700000,230.69,231.06,230.57,230.79,54791.4
2025-10-03 10:00:00+00:00,1759485600000,230.79,230.79,230.23,230.56,73563.3
2025-10-03 10:15:00+00:00,1759486500000,230.56,230.9,230.35,230.84,40993.6
2025-10-03 10:30:00+00:00,1759487400000,230.84,231.28,230.6,231.1,53931.0
2025-10-03 10:45:00+00:00,1759488300000,231.1,231.54,231.05,231.11,50229.6
2025-10-03 11:00:00+00:00,1759489200000,231.11,231.19,230.0,230.1,76708.1
2025-10-03 11:15:00+00:00,1759490100000,230.1,230.42,229.4,230.25,122548.6
2025-10-03 11:30:00+00:00,1759491000000,230.25,230.84,229.79,230.68,75559.0
2025-10-03 11:45:00+00:00,1759491900000,230.68,231.2,230.35,230.68,63975.8
2025-10-03 12:00:00+00:00,1759492800000,230.68,230.77,230.08,230.75,52629.6
2025-10-03 12:15:00+00:00,1759493700000,230.75,231.15,229.65,229.68,75175.5
2025-10-03 12:30:00+00:00,1759494600000,229.68,230.77,229.53,229.95,81767.2
2025-10-03 12:45:00+00:00,1759495500000,229.95,230.41,229.59,229.9,70746.2
2025-10-03 13:00:00+00:00,1759496400000,229.9,229.91,228.52,228.89,152388.8
2025-10-03 13:15:00+00:00,1759497300000,228.89,230.55,228.74,230.32,94200.4
